19-3-2020 02:48:36.273  INFO	13	185	Log 475 - user 5235804 at realtime 2024-09-04 19:26:02.822094
19-3-2020 02:48:39.295	INFO	18	187	creating mailslot for (broken) pipe
19-3-2020 02:48:39.339	INFO	18	190	ready to accept informational socket connection
19-3-2020 02:48:39.379	INFO	14	185	no mailbox necessary for forward
19-3-2020 02:48:39.425	INFO	15	188	creating socket for traffic CONTROL module
19-3-2020 02:48:39.472	INFO	17	186	mailbox allocated for dump
19-3-2020 02:48:39.472	INFO	14	194	transaction 17021 begun
19-3-2020 02:48:39.649	INFO	19	191	calculating thresholds...
19-3-2020 02:48:39.649	INFO	18	185	transaction done, id=17021
19-3-2020 02:48:39.689	INFO	13	189	mailbox allocated for route
19-3-2020 02:48:39.733	INFO	15	188	creating mailslot for RSVP via UDP
19-3-2020 02:48:39.776	INFO	11	193	ready to accept informational socket connection
19-3-2020 02:48:39.776	INFO	15	183	transaction 17024 begun
19-3-2020 02:48:39.972	INFO	15	188	creating mailslot for route engine - informational socket
19-3-2020 02:48:39.972	INFO	10	186	transaction done, id=17024
19-3-2020 02:48:40.017	INFO	17	191	creating mailslot for RSVP via UDP
19-3-2020 02:48:40.066	INFO	15	183	creating mailslot for RSVP
19-3-2020 02:48:40.113	INFO	14	192	creating mailslot for dump
19-3-2020 02:48:40.162	INFO	19	183	mailbox allocated for terminate
19-3-2020 02:48:40.162	INFO	17	185	transaction 17027 begun
19-3-2020 02:48:40.266	INFO	11	187	mailbox allocated for terminate
19-3-2020 02:48:40.266	INFO	16	186	transaction done, id=17027
19-3-2020 02:48:40.306	INFO	12	183	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:40.351	INFO	13	189	loopback to avoid ERROR
19-3-2020 02:48:40.389	INFO	18	189	master allocated for INFO and ERROR dump
19-3-2020 02:48:40.429	INFO	16	187	creating mailslot for RSVP client API
19-3-2020 02:48:40.476	INFO	10	190	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:40.525	INFO	16	188	mailbox allocated for dump
19-3-2020 02:48:40.566	INFO	10	184	mailbox allocated for dump
19-3-2020 02:48:40.611	INFO	12	190	creating socket for querying route
19-3-2020 02:48:40.658	INFO	12	188	creating mailslot for RSVP
19-3-2020 02:48:40.705	INFO	13	193	creating mailslot for (broken) pipe
19-3-2020 02:48:40.743	INFO	18	185	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:40.781	INFO	11	186	creating mailslot for RSVP
19-3-2020 02:48:40.821	INFO	19	189	mailbox allocated for terminate
19-3-2020 02:48:40.860	INFO	13	189	mailbox allocated for rsvp-udp
19-3-2020 02:48:40.908	INFO	11	188	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:40.945	INFO	15	191	mailbox allocated for pipe
19-3-2020 02:48:40.992	INFO	11	189	no mailbox necessary for traffic-CONTROL
19-3-2020 02:48:41.030	INFO	12	191	mailbox allocated for pipe
19-3-2020 02:48:41.078	INFO	15	187	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:41.118	INFO	11	194	master allocated for INFO and ERROR dump
19-3-2020 02:48:41.165	INFO	10	193	creating mailslot for RSVP client API
19-3-2020 02:48:41.203	INFO	12	190	creating mailslot for terminate
19-3-2020 02:48:41.249	INFO	11	192	calculating thresholds...
19-3-2020 02:48:41.295	INFO	17	191	mailbox allocated for rsvp-udp
19-3-2020 02:48:41.295	INFO	11	194	transaction 17030 begun
19-3-2020 02:48:41.438	INFO	10	183	mailbox allocated for rsvp-udp
19-3-2020 02:48:41.438	INFO	10	194	transaction done, id=17030
19-3-2020 02:48:41.480	INFO	19	193	creating mailslot for (broken) pipe
19-3-2020 02:48:41.519	INFO	11	194	mailbox allocated for rsvp-api
19-3-2020 02:48:41.561	INFO	17	188	creating mailslot for terminate
19-3-2020 02:48:41.601	INFO	11	184	creating mailslot for RSVP via UDP
19-3-2020 02:48:41.639	INFO	15	193	loopback to avoid ERROR
19-3-2020 02:48:41.678	INFO	18	187	creating mailslot for RSVP client API
19-3-2020 02:48:41.718	INFO	10	183	no mailbox necessary for forward
19-3-2020 02:48:41.763	INFO	12	184	creating mailslot for (broken) pipe
19-3-2020 02:48:41.809	INFO	16	187	mailbox allocated for dump
19-3-2020 02:48:41.849	INFO	12	192	mailbox allocated for dump
19-3-2020 02:48:41.889	INFO	12	188	creating mailslot for dump
19-3-2020 02:48:41.938	INFO	17	191	money transfer loaded from queue
19-3-2020 02:48:41.983	INFO	15	186	money transfer loaded from queue
19-3-2020 02:48:42.032	INFO	14	192	ready to accept informational socket connection
19-3-2020 02:48:42.076	INFO	11	194	parsing transaction entries
19-3-2020 02:48:42.122	INFO	12	187	master allocated for INFO and ERROR dump
19-3-2020 02:48:42.171	INFO	11	192	out of INFO allcations
19-3-2020 02:48:42.213	INFO	11	188	creating mailslot for RSVP client API
19-3-2020 02:48:42.258	INFO	19	191	creating mailslot for RSVP via UDP
19-3-2020 02:48:42.301	INFO	14	185	no mailbox necessary for forward
19-3-2020 02:48:42.301	INFO	19	192	transaction 17033 begun
19-3-2020 02:48:42.556	INFO	12	190	loading data for user
19-3-2020 02:48:42.556	INFO	19	194	transaction done, id=17033
19-3-2020 02:48:42.601	INFO	14	185	mailbox allocated for rsvp-api
19-3-2020 02:48:42.649	INFO	11	187	creating mailslot for (broken) pipe
19-3-2020 02:48:42.690	INFO	17	184	creating mailslot for dump
19-3-2020 02:48:42.727	INFO	17	188	calculating thresholds...
19-3-2020 02:48:42.771	INFO	17	188	mailbox allocated for terminate
19-3-2020 02:48:42.813	INFO	18	191	mailbox allocated for rsvp-api
19-3-2020 02:48:42.858	INFO	13	192	mailbox allocated for rsvp-api
19-3-2020 02:48:42.902	INFO	10	184	parsing transaction entries
19-3-2020 02:48:42.948	INFO	10	190	mailbox allocated for terminate
19-3-2020 02:48:42.985	INFO	10	185	creating mailslot for RSVP client API
19-3-2020 02:48:42.985	INFO	19	189	transaction 17036 begun
19-3-2020 02:48:43.150	INFO	19	186	creating socket for traffic CONTROL module
19-3-2020 02:48:43.150	INFO	13	184	transaction done, id=17036
19-3-2020 02:48:43.191	INFO	10	190	creating socket for traffic CONTROL module
19-3-2020 02:48:43.232	INFO	17	194	creating socket for traffic CONTROL module
19-3-2020 02:48:43.269	INFO	17	192	mailbox allocated for rsvp-api
19-3-2020 02:48:43.318	INFO	17	192	calculating thresholds...
19-3-2020 02:48:43.359	INFO	14	190	mailbox allocated for route
19-3-2020 02:48:43.397	INFO	15	193	creating mailslot for RSVP via UDP
19-3-2020 02:48:43.439	INFO	19	184	mailbox allocated for terminate
19-3-2020 02:48:43.488	INFO	10	192	loading data for user
19-3-2020 02:48:43.526	INFO	19	188	creating mailslot for RSVP client API
19-3-2020 02:48:43.563	INFO	11	183	loading data for user
19-3-2020 02:48:43.603	INFO	18	185	master allocated for INFO and ERROR dump
19-3-2020 02:48:43.652	INFO	14	188	creating socket for traffic CONTROL module
19-3-2020 02:48:43.701	INFO	15	187	no mailbox necessary for forward
19-3-2020 02:48:43.746	INFO	11	184	creating socket for traffic CONTROL module
19-3-2020 02:48:43.787	INFO	12	184	creating mailslot for RSVP client API
19-3-2020 02:48:43.828	INFO	18	193	mailbox allocated for rsvp-udp
19-3-2020 02:48:43.874	INFO	18	192	mailbox allocated for dump
19-3-2020 02:48:43.917	INFO	15	194	mailbox allocated for rsvp
19-3-2020 02:48:43.966	INFO	14	184	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:44.009	INFO	13	184	parsing transaction entries
19-3-2020 02:48:44.048	INFO	17	189	creating mailslot for RSVP
19-3-2020 02:48:44.091	INFO	17	186	creating socket for traffic CONTROL module
19-3-2020 02:48:44.131	INFO	18	193	master allocated for INFO and ERROR dump
19-3-2020 02:48:44.177	INFO	18	183	mailbox allocated for route
19-3-2020 02:48:44.221	INFO	11	190	creating mailslot for (broken) pipe
19-3-2020 02:48:44.270	INFO	16	186	out of INFO allcations
19-3-2020 02:48:44.307	INFO	12	187	money transfer loaded from queue
19-3-2020 02:48:44.351	INFO	15	188	mailbox allocated for route
19-3-2020 02:48:44.351	INFO	18	188	transaction 17039 begun
19-3-2020 02:48:44.543	INFO	18	188	creating mailslot for dump
19-3-2020 02:48:44.543	INFO	17	191	transaction done, id=17039
19-3-2020 02:48:44.591	INFO	14	194	mailbox allocated for dump
19-3-2020 02:48:44.631	INFO	13	184	mailbox allocated for dump
19-3-2020 02:48:44.677	INFO	16	187	creating mailslot for RSVP via UDP
19-3-2020 02:48:44.726	INFO	13	184	no mailbox necessary for forward
19-3-2020 02:48:44.766	INFO	16	189	mailbox allocated for rsvp-api
19-3-2020 02:48:44.807	INFO	13	189	creating mailslot for RSVP client API
19-3-2020 02:48:44.849	INFO	14	191	parsing transaction entries
19-3-2020 02:48:44.892	INFO	16	185	creating socket for traffic CONTROL module
19-3-2020 02:48:44.933	INFO	13	188	loading data for user
19-3-2020 02:48:44.981	INFO	19	190	mailbox allocated for pipe
19-3-2020 02:48:44.981	INFO	19	193	transaction 17042 begun
19-3-2020 02:48:45.118	INFO	14	193	mailbox allocated for rsvp-udp
19-3-2020 02:48:45.118	INFO	13	190	transaction done, id=17042
19-3-2020 02:48:45.158	INFO	19	194	mailbox allocated for rsvp-udp
19-3-2020 02:48:45.195	INFO	11	183	creating mailslot for RSVP client API
19-3-2020 02:48:45.239	INFO	16	192	mailbox allocated for rsvp-udp
19-3-2020 02:48:45.281	INFO	19	186	master allocated for INFO and ERROR dump
19-3-2020 02:48:45.327	INFO	14	194	mailbox allocated for route
19-3-2020 02:48:45.373	INFO	17	188	ready to accept informational socket connection
19-3-2020 02:48:45.420	INFO	11	192	creating mailslot for RSVP via UDP
19-3-2020 02:48:45.461	INFO	18	187	mailbox allocated for route
19-3-2020 02:48:45.505	INFO	13	189	creating mailslot for RSVP via UDP
19-3-2020 02:48:45.546	INFO	18	191	mailbox allocated for terminate
19-3-2020 02:48:45.591	INFO	11	183	mailbox allocated for dump
19-3-2020 02:48:45.636	INFO	16	186	mailbox allocated for rsvp-udp
19-3-2020 02:48:45.676	INFO	19	185	parsing transaction entries
19-3-2020 02:48:45.716	INFO	14	186	creating mailslot for terminate
19-3-2020 02:48:45.756	INFO	17	187	creating socket for querying route
19-3-2020 02:48:45.797	INFO	13	194	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:45.844	INFO	11	191	parsing transaction entries
19-3-2020 02:48:45.888	INFO	15	186	creating mailslot for RSVP
19-3-2020 02:48:45.888	INFO	11	193	transaction 17045 begun
19-3-2020 02:48:45.998	INFO	15	183	master allocated for INFO and ERROR dump
19-3-2020 02:48:45.998	INFO	17	183	transaction done, id=17045
19-3-2020 02:48:46.040	INFO	18	187	creating mailslot for terminate
19-3-2020 02:48:46.079	INFO	17	192	ready to accept informational socket connection
19-3-2020 02:48:46.117	INFO	17	187	money transfer loaded from queue
19-3-2020 02:48:46.164	INFO	14	188	calculating thresholds...
19-3-2020 02:48:46.210	INFO	18	184	no mailbox necessary for forward
19-3-2020 02:48:46.255	INFO	18	193	mailbox allocated for rsvp-api
19-3-2020 02:48:46.300	INFO	11	193	creating mailslot for RSVP
19-3-2020 02:48:46.347	INFO	14	189	creating mailslot for dump
19-3-2020 02:48:46.393	INFO	11	193	ready to accept informational socket connection
19-3-2020 02:48:46.438	INFO	17	193	creating mailslot for (broken) pipe
19-3-2020 02:48:46.477	INFO	19	186	creating socket for traffic CONTROL module
19-3-2020 02:48:46.514	INFO	11	183	creating mailslot for RSVP
19-3-2020 02:48:46.562	INFO	16	185	creating mailslot for dump
19-3-2020 02:48:46.609	INFO	14	194	creating socket for querying route
19-3-2020 02:48:46.646	INFO	13	194	creating mailslot for dump
19-3-2020 02:48:46.685	INFO	12	191	creating mailslot for dump
19-3-2020 02:48:46.727	INFO	19	187	mailbox allocated for dump
19-3-2020 02:48:46.775	INFO	19	192	calculating thresholds...
19-3-2020 02:48:46.775	INFO	13	183	transaction 17049 begun
19-3-2020 02:48:46.875	INFO	17	183	mailbox allocated for terminate
19-3-2020 02:48:46.875	INFO	16	193	transaction done, id=17049
19-3-2020 02:48:46.924	INFO	17	194	master allocated for INFO and ERROR dump
19-3-2020 02:48:46.924	ERROR	11	187	mailbox cannot be allocated for terminate
19-3-2020 02:48:46.969	INFO	13	193	mailbox allocated for dump
19-3-2020 02:48:47.012	INFO	15	186	creating socket for querying route
19-3-2020 02:48:47.056	INFO	17	189	out of INFO allcations
19-3-2020 02:48:47.093	INFO	11	191	creating socket for querying route
19-3-2020 02:48:47.137	INFO	18	185	mailbox allocated for route
19-3-2020 02:48:47.183	INFO	13	190	parsing transaction entries
19-3-2020 02:48:47.232	INFO	14	188	mailbox allocated for rsvp-api
19-3-2020 02:48:47.274	INFO	16	194	mailbox allocated for rsvp-api
19-3-2020 02:48:47.319	INFO	11	191	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:47.360	INFO	19	184	creating socket for traffic CONTROL module
19-3-2020 02:48:47.360	INFO	13	183	transaction 17051 begun
19-3-2020 02:48:47.531	INFO	12	193	money transfer loaded from queue
19-3-2020 02:48:47.531	INFO	16	193	transaction done, id=17051
19-3-2020 02:48:47.569	INFO	14	190	creating socket for querying route
19-3-2020 02:48:47.617	INFO	13	191	mailbox allocated for dump
19-3-2020 02:48:47.660	INFO	15	188	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:47.698	INFO	18	189	parsing transaction entries
19-3-2020 02:48:47.742	INFO	19	183	creating mailslot for (broken) pipe
19-3-2020 02:48:47.781	INFO	14	186	out of INFO allcations
19-3-2020 02:48:47.822	INFO	11	188	creating mailslot for route engine - informational socket
19-3-2020 02:48:47.867	INFO	15	187	creating mailslot for route engine - informational socket
19-3-2020 02:48:47.907	INFO	15	190	creating socket for traffic CONTROL module
19-3-2020 02:48:47.954	INFO	17	187	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:47.995	INFO	10	193	ready to accept informational socket connection
19-3-2020 02:48:48.034	INFO	19	191	creating mailslot for terminate
19-3-2020 02:48:48.077	INFO	12	189	loading data for user
19-3-2020 02:48:48.117	INFO	12	191	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:48.160	INFO	15	184	creating socket for querying route
19-3-2020 02:48:48.198	INFO	18	189	loading data for user
19-3-2020 02:48:48.239	INFO	10	183	no mailbox necessary for forward
19-3-2020 02:48:48.281	INFO	15	194	no mailbox necessary for forward
19-3-2020 02:48:48.320	INFO	11	187	calculating thresholds...
19-3-2020 02:48:48.367	INFO	19	194	calculating thresholds...
19-3-2020 02:48:48.407	INFO	17	188	mailbox allocated for route
19-3-2020 02:48:48.447	INFO	19	191	creating socket for querying route
19-3-2020 02:48:48.488	INFO	13	193	mailbox allocated for rsvp
19-3-2020 02:48:48.527	INFO	13	183	calculating thresholds...
19-3-2020 02:48:48.564	INFO	10	190	ready to accept informational socket connection
19-3-2020 02:48:48.611	INFO	15	191	out of INFO allcations
19-3-2020 02:48:48.659	INFO	10	187	money transfer loaded from queue
19-3-2020 02:48:48.702	INFO	13	194	parsing transaction entries
19-3-2020 02:48:48.751	INFO	11	193	creating mailslot for (broken) pipe
19-3-2020 02:48:48.800	INFO	14	190	mailbox allocated for rsvp
19-3-2020 02:48:48.847	INFO	14	190	creating mailslot for terminate
19-3-2020 02:48:48.889	INFO	10	188	no mailbox necessary for traffic-CONTROL
19-3-2020 02:48:48.927	INFO	17	190	out of INFO allcations
19-3-2020 02:48:48.968	INFO	18	189	out of INFO allcations
19-3-2020 02:48:49.013	INFO	17	190	calculating thresholds...
19-3-2020 02:48:49.051	INFO	17	186	creating mailslot for route engine - informational socket
19-3-2020 02:48:49.100	INFO	11	188	master allocated for INFO and ERROR dump
19-3-2020 02:48:49.147	INFO	15	191	mailbox allocated for rsvp-api
19-3-2020 02:48:49.187	INFO	17	194	creating mailslot for terminate
19-3-2020 02:48:49.235	INFO	14	184	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:49.276	INFO	17	186	mailbox allocated for rsvp-udp
19-3-2020 02:48:49.324	INFO	12	193	mailbox allocated for dump
19-3-2020 02:48:49.367	INFO	14	188	mailbox allocated for rsvp
19-3-2020 02:48:49.367	ERROR	17	188	mailbox cannot be allocated for terminate
19-3-2020 02:48:49.415	INFO	11	189	creating mailslot for RSVP via UDP
19-3-2020 02:48:49.457	INFO	11	194	ready to accept informational socket connection
19-3-2020 02:48:49.501	INFO	10	188	ready to accept informational socket connection
19-3-2020 02:48:49.548	INFO	15	185	creating socket for traffic CONTROL module
19-3-2020 02:48:49.591	INFO	15	185	creating mailslot for dump
19-3-2020 02:48:49.639	INFO	15	192	mailbox allocated for dump
19-3-2020 02:48:49.687	INFO	14	186	creating mailslot for RSVP client API
19-3-2020 02:48:49.731	INFO	19	183	out of INFO allcations
19-3-2020 02:48:49.775	INFO	15	185	master allocated for INFO and ERROR dump
19-3-2020 02:48:49.821	INFO	13	194	money transfer loaded from queue
19-3-2020 02:48:49.869	INFO	13	183	ready to accept informational socket connection
19-3-2020 02:48:49.908	INFO	17	183	creating mailslot for RSVP via UDP
19-3-2020 02:48:49.945	INFO	15	187	creating mailslot for RSVP
19-3-2020 02:48:49.986	INFO	19	187	ready to accept informational socket connection
19-3-2020 02:48:50.027	INFO	11	189	mailbox allocated for dump
19-3-2020 02:48:50.066	INFO	13	188	loopback to avoid ERROR
19-3-2020 02:48:50.110	INFO	17	188	parsing transaction entries
19-3-2020 02:48:50.152	INFO	15	187	interface 127.0.0.1, entity for rsvp allocated and initialized
19-3-2020 02:48:50.199	INFO	12	194	creating mailslot for RSVP via UDP
19-3-2020 02:48:50.241	INFO	14	192	mailbox allocated for dump
19-3-2020 02:48:50.287	INFO	15	183	money transfer loaded from queue
19-3-2020 02:48:50.287	INFO	14	184	transaction 17054 begun
19-3-2020 02:48:50.403	INFO	19	189	loopback to avoid ERROR
19-3-2020 02:48:50.403	INFO	16	189	transaction done, id=17054
19-3-2020 02:48:50.443	INFO	16	193	mailbox allocated for pipe
19-3-2020 02:48:50.484	INFO	19	184	creating mailslot for (broken) pipe
19-3-2020 02:48:50.529	INFO	16	185	ready to accept informational socket connection
19-3-2020 02:48:50.578	INFO	14	183	master allocated for INFO and ERROR dump
19-3-2020 02:48:50.622	INFO	19	190	creating mailslot for terminate
19-3-2020 02:48:50.667	INFO	14	190	mailbox allocated for terminate
19-3-2020 02:48:50.704	INFO	10	184	mailbox allocated for route
19-3-2020 02:48:50.743	INFO	17	186	master allocated for INFO and ERROR dump
19-3-2020 02:48:50.783	INFO	18	187	no mailbox necessary for forward
19-3-2020 02:48:50.831	INFO	19	187	no mailbox necessary for traffic-CONTROL
19-3-2020 02:48:50.874	INFO	11	187	mailbox allocated for dump
19-3-2020 02:48:50.920	INFO	13	185	money transfer loaded from queue
19-3-2020 02:48:50.957	INFO	17	191	mailbox allocated for rsvp
19-3-2020 02:48:50.995	INFO	18	186	creating mailslot for RSVP via UDP
19-3-2020 02:48:51.041	INFO	18	190	creating socket for querying route
19-3-2020 02:48:51.041	INFO	10	190	transaction 17057 begun
19-3-2020 02:48:51.236	INFO	17	186	creating mailslot for terminate
19-3-2020 02:48:51.236	INFO	13	189	transaction done, id=17057
19-3-2020 02:48:51.281	INFO	16	183	mailbox allocated for route
19-3-2020 02:48:51.318	INFO	18	189	creating mailslot for RSVP client API
19-3-2020 02:48:51.357	INFO	14	192	no mailbox necessary for traffic-CONTROL
19-3-2020 02:48:51.397	INFO	11	188	mailbox allocated for route
19-3-2020 02:48:51.434	INFO	17	187	creating mailslot for RSVP via UDP
19-3-2020 02:48:51.478	INFO	13	190	mailbox allocated for rsvp-udp
19-3-2020 02:48:51.521	INFO	18	188	creating mailslot for RSVP
19-3-2020 02:48:51.570	INFO	14	183	creating mailslot for RSVP client API
19-3-2020 02:48:51.570	ERROR	17	185	mailbox cannot be allocated for terminate
19-3-2020 02:48:51.615	INFO	12	189	master allocated for INFO and ERROR dump
19-3-2020 02:48:51.657	INFO	11	186	calculating thresholds...
19-3-2020 02:48:51.698	INFO	12	193	money transfer loaded from queue
19-3-2020 02:48:51.742	INFO	14	185	money transfer loaded from queue
19-3-2020 02:48:51.786	INFO	10	189	creating mailslot for route engine - informational socket
19-3-2020 02:48:51.826	INFO	15	189	creating mailslot for dump
19-3-2020 02:48:51.870	INFO	17	185	mailbox allocated for pipe
19-3-2020 02:48:51.918	INFO	14	187	mailbox allocated for rsvp-udp
19-3-2020 02:48:51.964	INFO	19	184	calculating thresholds...
19-3-2020 02:48:52.007	INFO	11	188	mailbox allocated for dump
19-3-2020 02:48:52.044	INFO	13	186	loopback to avoid ERROR
19-3-2020 02:48:52.093	INFO	16	185	creating mailslot for RSVP client API
19-3-2020 02:48:52.136	INFO	11	186	mailbox allocated for rsvp-api
19-3-2020 02:48:52.180	INFO	17	190	mailbox allocated for rsvp-udp
19-3-2020 02:48:52.228	INFO	18	189	out of INFO allcations
19-3-2020 02:48:52.273	INFO	11	194	creating socket for traffic CONTROL module
19-3-2020 02:48:52.316	INFO	13	190	creating mailslot for route engine - informational socket
19-3-2020 02:48:52.356	INFO	17	191	mailbox allocated for rsvp-udp
19-3-2020 02:48:52.393	INFO	18	187	mailbox allocated for rsvp-api
19-3-2020 02:48:52.441	INFO	18	189	mailbox allocated for terminate
19-3-2020 02:48:52.488	INFO	13	190	creating mailslot for terminate
19-3-2020 02:48:52.529	INFO	16	192	calculating thresholds...
19-3-2020 02:48:52.569	INFO	11	192	calculating thresholds...
19-3-2020 02:48:52.618	INFO	15	192	money transfer loaded from queue
19-3-2020 02:48:52.657	INFO	18	186	loopback to avoid ERROR
19-3-2020 02:48:52.706	INFO	13	186	creating socket for querying route
19-3-2020 02:48:52.744	INFO	10	189	money transfer loaded from queue
19-3-2020 02:48:52.781	INFO	16	194	mailbox allocated for rsvp-api
19-3-2020 02:48:52.820	INFO	12	190	creating mailslot for dump
19-3-2020 02:48:52.863	INFO	15	193	mailbox allocated for pipe
19-3-2020 02:48:52.900	INFO	13	183	creating mailslot for route engine - informational socket
19-3-2020 02:48:52.949	INFO	11	192	no mailbox necessary for traffic-CONTROL
19-3-2020 02:48:52.993	INFO	16	188	mailbox allocated for pipe
19-3-2020 02:48:53.037	INFO	17	187	master allocated for INFO and ERROR dump
19-3-2020 02:48:53.082	INFO	14	189	no mailbox necessary for forward
19-3-2020 02:48:53.121	INFO	12	187	creating socket for querying route
